N: 10
J1/J2 START: 0.8
J1/J2 END: 1.4
datapoints: 50000
caculation time with 16 threads: 5485.58 seconds

J1/J2	Delta E in J2
0.808112	0.123325
0.808124	0.123316
0.808136	0.123307
0.808148	0.123298
0.80816	0.123289
0.808172	0.12328
0.808184	0.123272
0.808196	0.123263
0.808208	0.123254
0.80822	0.123245
0.808232	0.123236
0.808244	0.123227
0.808256	0.123218
0.808268	0.123209
0.80828	0.1232
0.808292	0.123191
0.808304	0.123182
0.808316	0.123173
0.808328	0.123164
0.80834	0.123155
0.808352	0.123146
0.808364	0.123138
0.808376	0.123129
0.808388	0.12312
0.8084	0.123111
0.808412	0.123102
0.808424	0.123093
0.808436	0.123084
0.808448	0.123075
0.80846	0.123066
0.808472	0.123057
0.808484	0.123048
0.808496	0.123039
0.808508	0.12303
0.80852	0.123021
0.808532	0.123012
0.808544	0.123004
0.808556	0.122995
0.808568	0.122986
0.80858	0.122977
0.808592	0.122968
0.808604	0.122959
0.808616	0.12295
0.808628	0.122941
0.80864	0.122932
0.808652	0.122923
0.808664	0.122914
0.808676	0.122905
0.808688	0.122896
0.8087	0.122887
0.808712	0.122878
0.808724	0.12287
0.808736	0.122861
0.808748	0.122852
0.80876	0.122843
0.808772	0.122834
0.808784	0.122825
0.808796	0.122816
0.808808	0.122807
0.80882	0.122798
0.808832	0.122789
0.808844	0.12278
0.808856	0.122771
0.808868	0.122762
0.80888	0.122753
0.808892	0.122745
0.808904	0.122736
0.808916	0.122727
0.808928	0.122718
0.80894	0.122709
0.808952	0.1227
0.808964	0.122691
0.808976	0.122682
0.808988	0.122673
0.809	0.122664
0.809012	0.122655
0.809024	0.122646
0.809036	0.122637
0.809048	0.122628
0.80906	0.12262
0.809072	0.122611
0.809084	0.122602
0.809096	0.122593
0.809108	0.122584
0.80912	0.122575
0.809132	0.122566
0.809144	0.122557
0.809156	0.122548
0.809168	0.122539
0.80918	0.12253
0.809192	0.122521
0.809204	0.122512
0.809216	0.122503
0.809228	0.122495
0.80924	0.122486
0.809252	0.122477
0.809264	0.122468
0.809276	0.122459
0.809288	0.12245
0.8093	0.122441
0.809312	0.122432
0.809324	0.122423
0.809336	0.122414
0.809348	0.122405
0.80936	0.122396
0.809372	0.122387
0.809384	0.122378
0.809396	0.12237
0.809408	0.122361
0.80942	0.122352
